iter	RMSE
0	3.863772438
1	2.185759275
2	1.230929082
3	0.7249538594
4	0.4397548768
5	0.2930136763
6	0.2185303542
7	0.1776756357
8	0.1487871652
9	0.1354250733
10	0.1241000243
11	0.1149923237
12	0.1045557735
13	0.09620571883
14	0.09171529289
15	0.08663310722
16	0.08335760994
17	0.08028465524
18	0.07582576542
19	0.07320431724
20	0.06968157285
21	0.06793635618
22	0.06674204538
23	0.06452615481
24	0.06091028923
25	0.05881261915
26	0.0576407687
27	0.05625232539
28	0.05482935402
29	0.05393536537
30	0.05298371958
31	0.05208171381
32	0.05098727744
33	0.05009564026
34	0.04929048335
35	0.04837766378
36	0.04802417117
37	0.04670012475
38	0.04610087759
39	0.04542800151
40	0.04486916286
41	0.04433408368
42	0.04371552721
43	0.04343545244
44	0.04296344521
45	0.04269108259
46	0.04240656631
47	0.04220306894
48	0.0419520331
49	0.04158601609
50	0.041339213
51	0.04097154841
52	0.04075269765
53	0.04057262533
54	0.0404226746
55	0.0402572089
56	0.0396900114
57	0.0395211433
58	0.03927745426
59	0.03909369244
60	0.03896734223
61	0.03888126822
62	0.03875210367
63	0.03851231412
64	0.03842340626
65	0.03833456891
66	0.03815043481
67	0.03789862692
68	0.03775272464
69	0.03757860137
70	0.03739223568
71	0.03732363852
72	0.03725857165
73	0.03706083142
74	0.03695224221
75	0.03688074054
76	0.03670645702
77	0.03665087261
78	0.03654350759
79	0.03632143703
80	0.03623356698
81	0.03615695829
82	0.03606669882
83	0.03599031247
84	0.03591747687
85	0.03586364574
86	0.03579225568
87	0.03576514548
88	0.03569627366
89	0.03565675528
90	0.03555924043
91	0.03551615756
92	0.03546936094
93	0.03543318061
94	0.03540113283
95	0.03534464293
96	0.03523421127
97	0.03516100261
98	0.03511838449
99	0.03510059887
100	0.03503933284
101	0.0349422105
102	0.03491136529
103	0.03488541484
104	0.03483409763
105	0.03480259717
106	0.03476920974
107	0.0347411953
108	0.03471622038
109	0.0346985089
110	0.03467533195
111	0.03465460237
112	0.03460955263
113	0.0345720429
114	0.03454024527
115	0.03451214624
116	0.03447105833
117	0.03443918351
118	0.03442510882
119	0.03439969024
120	0.03437588592
121	0.03432072871
122	0.03430577309
123	0.03427857511
124	0.03426393236
125	0.03425146107
126	0.0342289312
127	0.03421370174
128	0.03420157694
129	0.03418855436
130	0.03417227249
131	0.03416299757
132	0.0341302072
133	0.03408727073
134	0.03407785177
135	0.03406739313
136	0.03405739498
137	0.03404855051
138	0.03404052532
139	0.03403070403
140	0.03401836303
141	0.03401237983
142	0.0340018674
143	0.0339982738
144	0.0339860611
145	0.03396927689
146	0.03395303653
147	0.033949389
148	0.03392824889
149	0.0339193361
150	0.03390732026
151	0.03388857378
152	0.03387939337
153	0.03386931522
154	0.03386636454
155	0.03385614337
156	0.03384653321
157	0.03383207916
158	0.03382536642
159	0.03381858283
160	0.03380987353
161	0.03379810501
162	0.03379334122
163	0.03378731149
164	0.03378395787
165	0.0337779503
166	0.03375821713
167	0.03375264688
168	0.03374702265
169	0.03374334546
170	0.03373698924
171	0.03372888467
172	0.03372176307
173	0.03371834531
174	0.03371133008
175	0.03370686986
176	0.03370448485
177	0.03370052827
178	0.03369729905
179	0.03369527177
180	0.0336890105
181	0.0336808677
182	0.0336697863
183	0.03366207375
184	0.03365853012
185	0.03365493197
186	0.03365154557
187	0.03364906371
188	0.03364743993
189	0.03364529274
190	0.03364180693
191	0.03363872814
192	0.03363629602
193	0.03362687693
194	0.03362283198
195	0.03362211866
196	0.0336209154
197	0.03361842822
198	0.03361377463
199	0.03361172622
200	0.03360924686
201	0.03360273854
202	0.03359945811
203	0.03359654605
204	0.03359311791
205	0.03359059556
206	0.03358786641
207	0.03358369763
208	0.03358021418
209	0.03357838927
210	0.03357714022
211	0.03357533709
212	0.03357246483
213	0.03356816219
214	0.03356556794
215	0.03356211214
216	0.03355903879
217	0.03355693468
218	0.03355322452
219	0.033549828
220	0.0335479901
221	0.03354613757
222	0.03354456437
223	0.03353786116
224	0.03353749704
225	0.03353502308
226	0.0335343005
227	0.03353147914
228	0.0335301778
229	0.0335280652
230	0.03352654305
231	0.0335254305
232	0.03352375945
233	0.03352277324
234	0.03352154006
235	0.03351950639
236	0.03351832446
237	0.0335170909
238	0.0335159994
239	0.03351486827
240	0.03351411783
241	0.03351215496
242	0.03351082761
243	0.03350981533
244	0.03350867413
245	0.03350785366
246	0.03350609296
247	0.03350404589
248	0.03350307342
249	0.03350221217
