Time,Input,Liquid_levels,Feedback,Valve_Positions
0 sec,0,0,0,0
150 sec,0,0,0,0
150 sec,0.7,0,0.7,58.11514435
150 sec,0.7,1.46E-13,0.7,58.11514435
152.34 sec,0.7,0.193123086,0.506876914,68.7597334
154.53 sec,0.7,0.361918393,0.338081607,70.10556691
157.1 sec,0.7,0.524930055,0.175069945,66.08615297
159.96 sec,0.7,0.65391925,0.04608075,58.66987944
163.2 sec,0.7,0.739062814,-0.039062814,49.96439186
166.92 sec,0.7,0.777120989,-0.077120989,41.97466262
171.22 sec,0.7,0.774972267,-0.074972267,36.23154244
176.3 sec,0.7,0.748335505,-0.048335505,33.43570445
182.57 sec,0.7,0.716960326,-0.016960326,33.25471302
190.74 sec,0.7,0.698305131,0.001694869,34.41930615
199.94 sec,0.7,0.696438063,0.003561937,35.18766431
209.49 sec,0.7,0.698973164,0.001026836,35.3008057
222.69 sec,0.7,0.700214348,-0.000214348,35.21753029
238.24 sec,0.7,0.700106095,-0.000106095,35.18927339
254.61 sec,0.7,0.700008688,-8.69E-06,35.19110686
264.73 sec,0.7,0.699996312,3.69E-06,35.19594774
274.86 sec,0.7,0.700001947,-1.95E-06,35.19686773
287.73 sec,0.7,0.700008165,-8.16E-06,35.19604418
302.37 sec,0.7,0.700028586,-2.86E-05,35.19272998
312.32 sec,0.7,0.700011022,-1.10E-05,35.19539827
322.27 sec,0.7,0.70000428,-4.28E-06,35.19644184
334.78 sec,0.7,0.700006363,-6.36E-06,35.19612886
349.32 sec,0.7,0.700024224,-2.42E-05,35.19339067
359.54 sec,0.7,0.70001087,-1.09E-05,35.19543732
369.76 sec,0.7,0.700004878,-4.88E-06,35.19635593
382.27 sec,0.7,0.700007158,-7.16E-06,35.19600638
396.46 sec,0.7,0.700023373,-2.34E-05,35.19352056
409.31 sec,0.7,0.700040568,-4.06E-05,35.19088434
419.64 sec,0.7,0.700019252,-1.93E-05,35.19415228
429.23 sec,0.7,0.700006327,-6.33E-06,35.19613383
440.5 sec,0.7,0.700004905,-4.91E-06,35.19635177
454.22 sec,0.7,0.700012895,-1.29E-05,35.19512692
468.16 sec,0.7,0.700037574,-3.76E-05,35.19134336
479.62 sec,0.7,0.700032277,-3.23E-05,35.19215551
489.2 sec,0.7,0.700010535,-1.05E-05,35.19548863
499.36 sec,0.7,0.700004584,-4.58E-06,35.19640109
511.96 sec,0.7,0.700007033,-7.03E-06,35.19602551
526.32 sec,0.7,0.70002466,-2.47E-05,35.1933232
536.53 sec,0.7,0.700011041,-1.10E-05,35.19541119
546.75 sec,0.7,0.700004943,-4.94E-06,35.196346
559.21 sec,0.7,0.700007117,-7.12E-06,35.1960127
573.38 sec,0.7,0.700022928,-2.29E-05,35.19358868
586.25 sec,0.7,0.700040187,-4.02E-05,35.19094278
596.61 sec,0.7,0.70001944,-1.94E-05,35.19412356
606.22 sec,0.7,0.700006427,-6.43E-06,35.19611842
617.46 sec,0.7,0.700004921,-4.92E-06,35.19634939
631.14 sec,0.7,0.700012708,-1.27E-05,35.19515558
645.09 sec,0.7,0.700037004,-3.70E-05,35.19143084
656.58 sec,0.7,0.700032352,-3.24E-05,35.19214403
666.18 sec,0.7,0.700010684,-1.07E-05,35.19546581
676.33 sec,0.7,0.700004628,-4.63E-06,35.19639429
688.9 sec,0.7,0.700006984,-6.98E-06,35.19603311
703.23 sec,0.7,0.700024261,-2.43E-05,35.19338437
713.48 sec,0.7,0.700011033,-1.10E-05,35.19541238
723.72 sec,0.7,0.700005017,-5.02E-06,35.19633462
736.19 sec,0.7,0.700007209,-7.21E-06,35.19599852
750.31 sec,0.7,0.700022798,-2.28E-05,35.19360861
763.16 sec,0.7,0.700039454,-3.95E-05,35.19105519
773.54 sec,0.7,0.70001924,-1.92E-05,35.19415415
783.18 sec,0.7,0.700006463,-6.46E-06,35.19611293
794.43 sec,0.7,0.700004994,-4.99E-06,35.19633822
808.1 sec,0.7,0.700012785,-1.28E-05,35.19514379
822 sec,0.7,0.700036598,-3.66E-05,35.19149304
833.49 sec,0.7,0.700031862,-3.19E-05,35.19221904
843.12 sec,0.7,0.700010636,-1.06E-05,35.19547327
853.29 sec,0.7,0.700004672,-4.67E-06,35.19638751
865.86 sec,0.7,0.700007072,-7.07E-06,35.19601953
880.17 sec,0.7,0.700024259,-2.43E-05,35.19338463
890.42 sec,0.7,0.700011055,-1.11E-05,35.19540894
900.67 sec,0.7,0.700005038,-5.04E-06,35.19633143
913.13 sec,0.7,0.700007218,-7.22E-06,35.19599717
927.24 sec,0.7,0.700022718,-2.27E-05,35.19362089
940.08 sec,0.7,0.70003929,-3.93E-05,35.19108035
950.47 sec,0.7,0.700019235,-1.92E-05,35.19415494
960.12 sec,0.7,0.700006483,-6.48E-06,35.19610989
971.37 sec,0.7,0.700005007,-5.01E-06,35.19633612
985.03 sec,0.7,0.700012771,-1.28E-05,35.19514592
