Time,Input,Liquid_levels,Feedback,Valve_Positions
0 sec,0,0,0,0
250 sec,0,0,0,0
250 sec,0.8,0,0.8,66.41730783126
250 sec,0.8,1.39466051320988e-13,0.799999999999861,66.4173078312777
252.34 sec,0.8,0.186018162578429,0.613981837421571,82.2586280634768
254.52 sec,0.8,0.352513468990743,0.447486531009257,87.9020400043158
257.12 sec,0.8,0.522259154702387,0.277740845297613,88.0234256553024
260.02 sec,0.8,0.666561182526647,0.133438817473353,83.81291399017
263.33 sec,0.8,0.774914566186474,0.025085433813526,77.0178904494079
267.17 sec,0.8,0.840033363711316,-0.0400333637113158,69.4321841808606
271.68 sec,0.8,0.862643337266345,-0.0626433372663447,62.7441991850714
277.07 sec,0.8,0.852471851415378,-0.0524718514153781,58.2349836354437
283.75 sec,0.8,0.826657307451535,-0.0266573074515346,56.3744409714882
293.06 sec,0.8,0.803703764160915,-0.003703764160915,56.6390467712587
303.29 sec,0.8,0.797705553093347,0.00229444690665337,57.3446400472012
314.28 sec,0.8,0.798779311008677,0.00122068899132255,57.5966881654706
329.05 sec,0.8,0.800014661137113,-1.46611371132366e-05,57.5852598269449
342.13 sec,0.8,0.800100366463721,-0.000100366463721357,57.5567785240012
355.2 sec,0.8,0.800034140958676,-3.41409586762653e-05,57.5522911373465
367.36 sec,0.8,0.800023458356639,-2.34583566387503e-05,57.5526747384894
377.94 sec,0.8,0.800014162457822,-1.41624578215982e-05,57.5552160775344
388.11 sec,0.8,0.800007628416017,-7.62841601686937e-06,57.5567652033636
399.46 sec,0.8,0.800007409317509,-7.40931750919938e-06,57.5568443094616
412.39 sec,0.8,0.800014579805706,-1.45798057056279e-05,57.5555427609971
425.31 sec,0.8,0.800028869131807,-2.88691318071077e-05,57.5530168489493
436.54 sec,0.8,0.800024343266182,-2.43432661817256e-05,57.5538140128357
446.57 sec,0.8,0.800010804256791,-1.08042567905642e-05,57.5561968689232
457.14 sec,0.8,0.800006382960761,-6.38296076138634e-06,57.5569749525589
469.47 sec,0.8,0.800009515140453,-9.51514045310908e-06,57.5564239184836
482.81 sec,0.8,0.800023357428963,-2.33574289631999e-05,57.553988832478
494.96 sec,0.8,0.800031743066866,-3.17430668662633e-05,57.5525136862098
505.29 sec,0.8,0.800016463226791,-1.64632267908305e-05,57.5552016097684
515.26 sec,0.8,0.800007109402674,-7.1094026735663e-06,57.556847069268
526.7 sec,0.8,0.800006678829264,-6.67882926386199e-06,57.5569228128288
539.93 sec,0.8,0.80001552768842,-1.55276884198363e-05,57.5553661842721
552.99 sec,0.8,0.800033206298944,-3.32062989444326e-05,57.5522562886706
564.05 sec,0.8,0.800025505353835,-2.55053538349426e-05,57.5536109842252
573.83 sec,0.8,0.800009940625005,-9.9406250045897e-06,57.5563490207434
584.34 sec,0.8,0.800005696712616,-5.69671261629878e-06,57.5570955796605
596.89 sec,0.8,0.800009476945912,-9.47694591202364e-06,57.5564305878761
610.5 sec,0.8,0.800026347944743,-2.63479447427661e-05,57.5534627616232
622.61 sec,0.8,0.800035179815334,-3.51798153338523e-05,57.5519091216957
